"","TransactionID","id_01","id_02","id_03","id_04","id_05","id_06","id_07","id_08","id_09","id_10","id_11","id_12","id_13","id_14","id_15","id_16","id_17","id_18","id_19","id_20","id_21","id_22","id_23","id_24","id_25","id_26","id_27","id_28","id_29","id_30","id_31","id_32","id_33","id_34","id_35","id_36","id_37","id_38","DeviceType","DeviceInfo"
"11",2987049,-5,287959,NA,NA,1,-11,NA,NA,NA,NA,100,"NotFound",52,NA,"New","NotFound",225,NA,254,507,NA,NA,"",NA,NA,NA,"","New","NotFound","","chrome 62.0",NA,"","",FALSE,FALSE,TRUE,TRUE,"desktop","Windows"
"12",2987057,0,88525,NA,NA,NA,NA,NA,NA,NA,NA,100,"NotFound",NA,-300,"New","NotFound",166,NA,278,600,NA,NA,"",NA,NA,NA,"","New","NotFound","Android 7.0","chrome 62.0 for android",32,"1920x1080","match_status:2",TRUE,FALSE,TRUE,TRUE,"mobile","SM-G930V Build/NRD90M"
"13",2987066,-5,54927,0,0,0,-1,NA,NA,0,0,100,"NotFound",52,-360,"Found","Found",166,NA,307,333,NA,NA,"",NA,NA,NA,"","Found","Found","Windows 10","chrome 62.0",24,"1680x1050","match_status:2",TRUE,FALSE,TRUE,TRUE,"desktop","Windows"
"14",2987069,0,69542,0,0,2,-4,NA,NA,0,0,100,"Found",NA,-300,"Found","Found",166,15,352,533,NA,NA,"",NA,NA,NA,"","Found","Found","Linux","chrome 62.0",32,"1920x1080","match_status:2",TRUE,FALSE,TRUE,TRUE,"desktop",""
"15",2987070,0,132356,NA,NA,1,-6,NA,NA,NA,NA,100,"NotFound",NA,-300,"New","NotFound",166,13,529,549,NA,NA,"",NA,NA,NA,"","New","NotFound","iOS 11.1.2","mobile safari 11.0",32,"1136x640","match_status:1",TRUE,FALSE,TRUE,TRUE,"mobile","iOS Device"
"16",2987072,0,275611,NA,NA,0,0,NA,NA,NA,NA,100,"NotFound",20,NA,"New","NotFound",225,NA,266,566,NA,NA,"",NA,NA,NA,"","New","NotFound","","chrome 62.0 for android",NA,"","",FALSE,FALSE,TRUE,TRUE,"mobile","BLADE A602 Build/MRA58K"
"17",2987074,-5,419136,NA,NA,0,0,NA,NA,NA,NA,100,"NotFound",52,NA,"New","NotFound",225,NA,266,305,NA,NA,"",NA,NA,NA,"","New","NotFound","","chrome 62.0",NA,"","",FALSE,FALSE,TRUE,TRUE,"desktop","Windows"
"18",2987084,-5,436352,NA,NA,0,0,NA,NA,NA,NA,100,"NotFound",52,NA,"New","NotFound",225,NA,290,401,NA,NA,"",NA,NA,NA,"","New","NotFound","","chrome 62.0",NA,"","",FALSE,FALSE,TRUE,TRUE,"desktop","Windows"
"19",2987093,-5,34810,NA,NA,1,0,NA,NA,0,0,93.75,"NotFound",52,-300,"New","NotFound",166,NA,548,391,NA,NA,"",NA,NA,NA,"","Found","Found","Windows 10","edge 15.0",24,"","match_status:2",TRUE,FALSE,TRUE,TRUE,"desktop","Windows"
"20",2987099,-10,129080,0,0,9,-43,22,-34,0,0,100,"Found",49,-300,"Found","Found",166,12,122,549,252,14,"IP_PROXY:TRANSPARENT",11,321,184,"Found","Found","Found","iOS 11.0.3","mobile safari generic",32,"1334x750","match_status:2",TRUE,FALSE,TRUE,FALSE,"mobile","iOS Device"
"21",2987100,0,264818,NA,NA,0,0,NA,NA,NA,NA,100,"NotFound",NA,-300,"New","NotFound",166,NA,215,533,NA,NA,"",NA,NA,NA,"","New","NotFound","Android 7.0","chrome 62.0 for android",32,"1920x1080","match_status:2",TRUE,FALSE,TRUE,TRUE,"mobile","SM-G930V Build/NRD90M"
"22",2987101,0,49557,0,0,0,0,NA,NA,0,0,100,"NotFound",NA,-300,"Found","Found",166,NA,100,535,NA,NA,"",NA,NA,NA,"","Found","Found","Mac OS X 10_7_5","chrome 49.0",24,"1280x800","match_status:2",TRUE,TRUE,TRUE,TRUE,"desktop","MacOS"
"23",2987104,0,30696,0,0,0,0,NA,NA,0,0,100,"Found",NA,-300,"Found","Found",166,NA,215,533,NA,NA,"",NA,NA,NA,"","Found","Found","Android 7.0","chrome 62.0 for android",32,"1920x1080","match_status:2",TRUE,FALSE,TRUE,TRUE,"mobile","SM-G930V Build/NRD90M"
"24",2987105,0,194580,NA,NA,12,-6,NA,NA,NA,NA,100,"NotFound",NA,NA,"New","NotFound",225,15,345,507,NA,NA,"",NA,NA,NA,"","New","NotFound","","chrome 62.0 for android",NA,"","",FALSE,FALSE,TRUE,TRUE,"mobile","XT1635-02 Build/NPN26.118-22-2"
"25",2987108,-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NotFound",14,NA,"","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","","",NA,"","",NA,NA,NA,NA,"",""
"26",2987111,-5,252899,NA,NA,0,0,NA,NA,0,0,95.0800018310547,"NotFound",52,NA,"New","NotFound",225,NA,266,325,NA,NA,"",NA,NA,NA,"","Found","Found","","chrome 62.0",NA,"","",FALSE,FALSE,TRUE,TRUE,"desktop","Windows"
"27",2987114,-5,190935,0,0,6,-9,NA,NA,0,0,100,"NotFound",52,NA,"Found","Found",225,13,242,507,NA,NA,"",NA,NA,NA,"","Found","Found","","chrome 62.0",NA,"","",FALSE,FALSE,TRUE,TRUE,"desktop","Windows"
"28",2987119,0,23923,0,0,0,0,NA,NA,0,0,100,"NotFound",NA,-480,"Found","Found",166,NA,215,222,NA,NA,"",NA,NA,NA,"","Found","Found","Mac OS X 10_12_6","chrome 61.0",24,"5120x2880","match_status:2",TRUE,FALSE,TRUE,TRUE,"desktop","MacOS"
"29",2987121,0,18305,2,0,2,0,NA,NA,2,0,100,"NotFound",NA,-300,"Found","Found",166,NA,215,277,NA,NA,"",NA,NA,NA,"","Found","Found","Mac OS X 10_12_6","chrome 62.0",24,"2880x1800","match_status:2",TRUE,FALSE,TRUE,TRUE,"desktop","MacOS"
"30",2987125,0,32876,2,0,2,0,NA,NA,2,0,100,"Found",NA,-300,"Found","Found",166,NA,215,277,NA,NA,"",NA,NA,NA,"","Found","Found","Mac OS X 10_12_6","chrome 62.0",24,"2880x1800","match_status:2",TRUE,FALSE,TRUE,TRUE,"desktop","MacOS"
"31",2987130,-10,175789,0,0,0,0,NA,NA,0,0,100,"NotFound",52,NA,"Found","Found",121,NA,410,142,NA,NA,"",NA,NA,NA,"","Found","Found","","chrome 62.0",NA,"","",FALSE,FALSE,TRUE,TRUE,"desktop","Windows"
"32",2987138,-5,68343,0,0,1,0,NA,NA,1,0,100,"NotFound",52,-300,"Found","Found",166,NA,193,368,NA,NA,"",NA,NA,NA,"","Found","Found","Windows 10","edge 16.0",24,"1920x1200","match_status:2",TRUE,FALSE,TRUE,TRUE,"desktop","Windows"
"33",2987141,-5,110477,NA,NA,0,-5,NA,NA,1,0,95.6500015258789,"NotFound",49,-300,"New","NotFound",166,NA,650,597,NA,NA,"",NA,NA,NA,"","Found","Found","Mac OS X 10_13_1","safari generic",24,"2560x1600","match_status:2",TRUE,FALSE,FALSE,FALSE,"desktop","MacOS"
"34",2987144,-5,157470,0,0,0,-5,NA,NA,1,0,100,"Found",49,-300,"Found","Found",166,NA,650,597,NA,NA,"",NA,NA,NA,"","Found","Found","Mac OS X 10_13_1","safari generic",24,"2560x1600","match_status:2",TRUE,FALSE,FALSE,FALSE,"desktop","MacOS"
"35",2987145,-5,127488,NA,NA,2,-11,NA,NA,NA,NA,100,"NotFound",49,-360,"New","NotFound",166,12,352,214,NA,NA,"",NA,NA,NA,"","New","NotFound","iOS 11.1.0","mobile safari 11.0",32,"2048x1536","match_status:1",TRUE,FALSE,FALSE,FALSE,"mobile","iOS Device"
"36",2987148,-5,123916,NA,NA,0,0,NA,NA,NA,NA,100,"NotFound",49,-300,"New","NotFound",166,NA,390,549,NA,NA,"",NA,NA,NA,"","New","NotFound","iOS 11.1.2","mobile safari 11.0",32,"1334x750","match_status:1",TRUE,FALSE,FALSE,TRUE,"mobile","iOS Device"
"37",2987156,-5,55836,NA,NA,0,0,NA,NA,NA,NA,100,"NotFound",52,-300,"New","NotFound",166,NA,542,489,NA,NA,"",NA,NA,NA,"","New","NotFound","Windows 10","chrome 62.0",24,"1024x768","match_status:2",TRUE,FALSE,TRUE,FALSE,"desktop","Windows"
"38",2987167,0,124221,NA,NA,0,0,NA,NA,NA,NA,100,"NotFound",NA,-300,"Found","NotFound",166,13,390,549,NA,NA,"",NA,NA,NA,"","Found","NotFound","Windows 10","edge 14.0",24,"1366x768","match_status:2",TRUE,TRUE,TRUE,TRUE,"desktop","Windows"
"39",2987173,0,113499,NA,NA,0,0,NA,NA,NA,NA,100,"NotFound",NA,-300,"New","NotFound",166,NA,215,368,NA,NA,"",NA,NA,NA,"","New","NotFound","iOS 11.1.2","mobile safari 11.0",32,"1136x640","match_status:1",TRUE,FALSE,TRUE,TRUE,"mobile","iOS Device"
"40",2987183,0,79656,NA,NA,0,0,NA,NA,NA,NA,100,"NotFound",NA,-300,"New","NotFound",166,NA,492,600,NA,NA,"",NA,NA,NA,"","New","NotFound","Android","chrome 56.0 for android",32,"1280x720","match_status:2",TRUE,FALSE,TRUE,TRUE,"mobile","Z970"
"41",2987188,-5,15464,0,0,4,-44,6,-55,0,0,100,"Found",55,-300,"Found","Found",166,13,122,256,252,14,"IP_PROXY:TRANSPARENT",11,321,102,"Found","Found","Found","Android","chrome 62.0",32,"2560x1440","match_status:2",TRUE,FALSE,TRUE,TRUE,"mobile",""
"42",2987189,-5,363527,NA,NA,0,0,NA,NA,NA,NA,100,"NotFound",52,NA,"New","NotFound",225,NA,427,507,NA,NA,"",NA,NA,NA,"","New","NotFound","","firefox 57.0",NA,"","",FALSE,FALSE,TRUE,TRUE,"desktop","Windows"
"43",2987190,-20,157297,NA,NA,NA,NA,NA,NA,NA,NA,100,"NotFound",49,NA,"Unknown","",225,NA,266,507,NA,NA,"",NA,NA,NA,"","New","NotFound","","mobile safari 11.0",NA,"","",FALSE,FALSE,FALSE,TRUE,"mobile",""
"44",2987192,-5,302597,NA,NA,0,0,NA,NA,NA,NA,100,"NotFound",52,NA,"New","NotFound",225,NA,266,507,NA,NA,"",NA,NA,NA,"","New","NotFound","","firefox 57.0",NA,"","",FALSE,FALSE,TRUE,TRUE,"desktop","Windows"
"45",2987196,-5,211439,NA,NA,0,0,NA,NA,NA,NA,100,"NotFound",52,NA,"New","NotFound",225,NA,266,325,NA,NA,"",NA,NA,NA,"","New","NotFound","","chrome 62.0",NA,"","",FALSE,FALSE,TRUE,TRUE,"desktop","Windows"
"46",2987197,0,77852,NA,NA,0,0,NA,NA,NA,NA,100,"NotFound",NA,-300,"New","NotFound",166,NA,390,549,NA,NA,"",NA,NA,NA,"","New","NotFound","iOS 11.1.2","mobile safari 11.0",32,"2208x1242","match_status:1",TRUE,FALSE,TRUE,TRUE,"mobile","iOS Device"
"47",2987198,0,49347,NA,NA,0,0,NA,NA,NA,NA,100,"NotFound",NA,-300,"New","NotFound",166,15,100,549,NA,NA,"",NA,NA,NA,"","New","NotFound","iOS 11.0.3","mobile safari 11.0",32,"2048x1536","match_status:1",TRUE,FALSE,TRUE,TRUE,"mobile","iOS Device"
"48",2987199,-20,146516,NA,NA,0,0,NA,NA,NA,NA,100,"NotFound",49,NA,"Unknown","",225,NA,266,507,NA,NA,"",NA,NA,NA,"","New","NotFound","","mobile safari 11.0",NA,"","",FALSE,FALSE,FALSE,TRUE,"mobile",""
"49",2987207,-5,84798,NA,NA,4,0,NA,NA,NA,NA,100,"NotFound",49,-480,"New","NotFound",166,NA,529,222,NA,NA,"",NA,NA,NA,"","New","NotFound","iOS 11.1.2","mobile safari 11.0",32,"2001x1125","match_status:1",TRUE,FALSE,FALSE,TRUE,"mobile","iOS Device"
"50",2987209,-5,86577,0,0,6,0,NA,NA,0,0,100,"NotFound",52,NA,"Found","Found",225,NA,266,507,NA,NA,"",NA,NA,NA,"","Found","Found","","chrome 62.0",NA,"","",FALSE,FALSE,TRUE,TRUE,"desktop","Windows"
"51",2987211,0,163246,0,0,0,0,NA,NA,0,0,100,"NotFound",NA,-360,"Found","Found",166,NA,548,214,NA,NA,"",NA,NA,NA,"","Found","Found","Android 7.0","chrome 62.0 for android",32,"","match_status:2",TRUE,FALSE,TRUE,TRUE,"mobile","SM-N920V Build/NRD90M"
"52",2987236,-5,52546,NA,NA,0,0,NA,NA,NA,NA,100,"NotFound",49,-300,"New","NotFound",166,NA,390,549,NA,NA,"",NA,NA,NA,"","New","NotFound","iOS 11.1.2","mobile safari 11.0",32,"2208x1242","match_status:1",TRUE,FALSE,FALSE,TRUE,"mobile","iOS Device"
"53",2987240,0,169947,0,0,3,0,NA,NA,0,0,100,"NotFound",NA,NA,"Found","Found",225,NA,266,325,NA,NA,"",NA,NA,NA,"","Found","Found","","chrome 54.0 for android",NA,"","",FALSE,FALSE,TRUE,TRUE,"mobile","Redmi Note 4 Build/MMB29M"
"54",2987243,0,222455,0,0,0,0,NA,NA,0,0,100,"NotFound",43,NA,"Found","Found",225,NA,266,325,NA,NA,"",NA,NA,NA,"","Found","Found","","chrome 54.0 for android",NA,"","",FALSE,FALSE,TRUE,TRUE,"mobile","Redmi Note 4 Build/MMB29M"
"55",2987245,0,271870,0,0,3,0,NA,NA,0,0,100,"NotFound",43,NA,"Found","Found",225,NA,266,325,NA,NA,"",NA,NA,NA,"","Found","Found","","chrome 54.0 for android",NA,"","",FALSE,FALSE,TRUE,TRUE,"mobile","Redmi Note 4 Build/MMB29M"
"56",2987248,-5,154042,NA,NA,1,0,NA,NA,NA,NA,100,"NotFound",49,-300,"New","NotFound",166,NA,215,277,NA,NA,"",NA,NA,NA,"","New","NotFound","iOS 11.1.2","mobile safari uiwebview",32,"2048x1536","",TRUE,FALSE,FALSE,TRUE,"mobile","iOS Device"
"57",2987252,-5,133082,0,0,0,0,NA,NA,0,0,100,"NotFound",52,NA,"Found","Found",225,NA,266,325,NA,NA,"",NA,NA,NA,"","Found","Found","","chrome 62.0",NA,"","",FALSE,FALSE,TRUE,TRUE,"desktop","Windows"
"58",2987258,-5,104033,0,0,0,0,NA,NA,0,0,100,"NotFound",52,NA,"Found","Found",225,NA,266,325,NA,NA,"",NA,NA,NA,"","Found","Found","","chrome 62.0",NA,"","",FALSE,FALSE,TRUE,TRUE,"desktop","Windows"
"59",2987259,-20,87090,NA,NA,21,-33,NA,NA,NA,NA,100,"NotFound",49,NA,"Unknown","",225,15,417,507,NA,NA,"",NA,NA,NA,"","New","NotFound","","mobile safari 11.0",NA,"","",FALSE,FALSE,FALSE,TRUE,"mobile",""
"60",2987262,-5,547674,NA,NA,7,-29,NA,NA,NA,NA,100,"NotFound",52,NA,"New","NotFound",225,15,266,507,NA,NA,"",NA,NA,NA,"","New","NotFound","","chrome 62.0",NA,"","",FALSE,FALSE,TRUE,TRUE,"desktop","Windows"
"61",2987265,0,34648,NA,NA,0,0,NA,NA,NA,NA,100,"NotFound",NA,-300,"New","NotFound",166,NA,410,256,NA,NA,"",NA,NA,NA,"","New","NotFound","iOS 11.1.2","mobile safari 11.0",32,"2048x1536","match_status:1",TRUE,FALSE,TRUE,TRUE,"mobile","iOS Device"
"62",2987266,-5,235745,NA,NA,0,0,NA,NA,NA,NA,100,"NotFound",52,NA,"Found","NotFound",225,NA,427,223,NA,NA,"",NA,NA,NA,"","Found","NotFound","","chrome 62.0",NA,"","",FALSE,FALSE,TRUE,TRUE,"desktop","Windows"
"63",2987270,0,42969,0,0,0,0,NA,NA,0,0,100,"Found",NA,-300,"Found","Found",166,NA,410,256,NA,NA,"",NA,NA,NA,"","Found","Found","iOS 11.1.2","mobile safari 11.0",32,"2048x1536","match_status:1",TRUE,FALSE,TRUE,TRUE,"mobile","iOS Device"
"64",2987271,-5,95459,NA,NA,0,0,NA,NA,NA,NA,100,"NotFound",52,-300,"Found","NotFound",166,NA,100,368,NA,NA,"",NA,NA,NA,"","Found","NotFound","Windows 10","chrome 62.0",24,"1920x1080","match_status:2",TRUE,FALSE,TRUE,FALSE,"desktop","Windows"
"65",2987273,-5,67018,NA,NA,0,-1,NA,NA,NA,NA,100,"NotFound",49,-480,"New","NotFound",166,NA,312,222,NA,NA,"",NA,NA,NA,"","New","NotFound","iOS 11.1.0","mobile safari 11.0",32,"2048x1536","match_status:1",TRUE,FALSE,FALSE,TRUE,"mobile","iOS Device"
"66",2987275,0,95044,0,0,0,0,NA,NA,0,0,100,"NotFound",NA,-300,"Found","Found",166,NA,529,549,NA,NA,"",NA,NA,NA,"","Found","Found","Mac OS X 10_9_5","chrome",24,"1440x900","match_status:2",TRUE,TRUE,TRUE,TRUE,"desktop","MacOS"
"67",2987281,-5,80312,0,0,0,0,NA,NA,0,0,100,"NotFound",52,-300,"Found","Found",166,NA,542,533,NA,NA,"",NA,NA,NA,"","Found","Found","Windows 10","chrome 62.0",24,"1366x768","match_status:2",TRUE,FALSE,TRUE,TRUE,"desktop","Windows"
"68",2987284,-5,269062,NA,NA,0,0,NA,NA,NA,NA,100,"NotFound",52,NA,"New","NotFound",225,NA,266,401,NA,NA,"",NA,NA,NA,"","New","NotFound","","chrome 62.0",NA,"","",FALSE,FALSE,TRUE,TRUE,"desktop","Windows"
"69",2987287,0,170760,NA,NA,0,0,NA,NA,NA,NA,100,"NotFound",NA,NA,"New","NotFound",225,NA,266,507,NA,NA,"",NA,NA,NA,"","New","NotFound","","safari generic",NA,"","",FALSE,FALSE,TRUE,TRUE,"desktop",""
"70",2987288,-20,258138,NA,NA,0,-1,NA,NA,NA,NA,100,"NotFound",49,NA,"Unknown","",225,NA,290,401,NA,NA,"",NA,NA,NA,"","New","NotFound","","chrome 62.0 for ios",NA,"","",FALSE,FALSE,FALSE,FALSE,"mobile",""
"71",2987301,-15,104992,0,0,0,0,NA,NA,0,0,100,"NotFound",20,NA,"Found","Found",225,NA,153,325,NA,NA,"",NA,NA,NA,"","Found","Found","","chrome 62.0 for android",NA,"","",FALSE,FALSE,TRUE,TRUE,"mobile","Lenovo PB1-750M Build/S100"
"72",2987311,0,88077,NA,NA,1,0,NA,NA,0,0,94.2900009155273,"NotFound",NA,-360,"New","NotFound",166,12,529,214,NA,NA,"",NA,NA,NA,"","Found","Found","Mac OS X 10_13_1","safari generic",24,"1600x900","",TRUE,FALSE,TRUE,TRUE,"desktop","MacOS"
"73",2987316,-5,485513,0,0,0,0,NA,NA,0,0,100,"NotFound",52,NA,"Found","Found",225,NA,266,325,NA,NA,"",NA,NA,NA,"","Found","Found","","firefox 57.0",NA,"","",FALSE,FALSE,TRUE,TRUE,"desktop","Windows"
"74",2987319,-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NotFound",14,NA,"","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","","",NA,"","",NA,NA,NA,NA,"",""
"75",2987327,-5,91167,NA,NA,0,0,NA,NA,0,0,96.1900024414062,"NotFound",52,-360,"New","NotFound",166,NA,454,214,NA,NA,"",NA,NA,NA,"","Found","Found","Windows 7","chrome 62.0",24,"1366x768","",TRUE,FALSE,TRUE,TRUE,"desktop","Windows"
"76",2987328,-5,214916,0,0,0,0,NA,NA,0,0,100,"NotFound",52,NA,"Found","Found",225,NA,176,507,NA,NA,"",NA,NA,NA,"","Found","Found","","chrome 62.0",NA,"","",FALSE,FALSE,TRUE,TRUE,"desktop","Windows"
"77",2987332,-5,88570,NA,NA,1,0,NA,NA,NA,NA,100,"NotFound",49,-360,"New","NotFound",166,NA,633,215,NA,NA,"",NA,NA,NA,"","New","NotFound","iOS 11.1.2","mobile safari generic",32,"2208x1242","match_status:2",TRUE,FALSE,TRUE,FALSE,"mobile","iOS Device"
"78",2987333,-5,36268,NA,NA,0,0,NA,NA,0,0,90.5699996948242,"NotFound",52,-480,"New","NotFound",166,NA,529,222,NA,NA,"",NA,NA,NA,"","Found","Found","Windows 8.1","chrome 62.0",24,"1366x768","match_status:2",TRUE,FALSE,TRUE,TRUE,"desktop","Windows"
"79",2987335,-5,134690,0,0,1,0,NA,NA,0,0,100,"Found",49,-360,"Found","Found",166,NA,633,215,NA,NA,"",NA,NA,NA,"","Found","Found","iOS 11.1.2","mobile safari generic",32,"2208x1242","match_status:2",TRUE,FALSE,TRUE,FALSE,"mobile","iOS Device"
"80",2987336,-5,155564,0,0,1,0,NA,NA,0,0,100,"Found",49,-360,"Found","Found",166,NA,633,215,NA,NA,"",NA,NA,NA,"","Found","Found","iOS 11.1.2","mobile safari generic",32,"2208x1242","match_status:2",TRUE,FALSE,TRUE,FALSE,"mobile","iOS Device"
"81",2987337,-5,614791,NA,NA,0,0,NA,NA,NA,NA,100,"NotFound",49,-360,"New","NotFound",166,NA,542,214,NA,NA,"",NA,NA,NA,"","New","NotFound","iOS 11.1.2","mobile safari 11.0",32,"2208x1242","match_status:1",TRUE,FALSE,FALSE,TRUE,"mobile","iOS Device"
"82",2987338,-5,214994,0,0,1,0,NA,NA,0,0,100,"Found",49,-360,"Found","Found",166,NA,633,215,NA,NA,"",NA,NA,NA,"","Found","Found","iOS 11.1.2","mobile safari generic",32,"2208x1242","match_status:2",TRUE,FALSE,TRUE,FALSE,"mobile","iOS Device"
"83",2987352,0,163133,NA,NA,0,0,NA,NA,NA,NA,100,"NotFound",NA,NA,"New","NotFound",225,NA,290,401,NA,NA,"",NA,NA,NA,"","New","NotFound","","chrome 62.0 for android",NA,"","",FALSE,FALSE,TRUE,TRUE,"mobile","LT22i Build/6.2.A.1.100"
"84",2987355,-5,88945,0,0,0,0,NA,NA,0,0,100,"NotFound",49,-300,"Found","Found",166,NA,215,484,NA,NA,"",NA,NA,NA,"","Found","Found","Mac OS X 10_11_6","safari generic",24,"1440x900","match_status:2",TRUE,FALSE,TRUE,FALSE,"desktop","MacOS"
"85",2987361,-5,153524,0,0,0,0,NA,NA,0,0,100,"Found",49,-300,"Found","Found",166,NA,215,484,NA,NA,"",NA,NA,NA,"","Found","Found","Mac OS X 10_11_6","safari generic",24,"1440x900","match_status:2",TRUE,FALSE,TRUE,FALSE,"desktop","MacOS"
"86",2987366,0,6300,0,0,0,-8,NA,NA,0,0,100,"Found",NA,-300,"Found","Found",166,15,100,533,NA,NA,"",NA,NA,NA,"","Found","Found","iOS 11.0.3","mobile safari 11.0",32,"2048x1536","match_status:1",TRUE,FALSE,TRUE,TRUE,"mobile","iOS Device"
"87",2987367,-5,141271,NA,NA,9,-81,NA,NA,0,0,97.5400009155273,"NotFound",52,-300,"New","NotFound",166,13,121,333,NA,NA,"",NA,NA,NA,"","Found","Found","Windows 10","firefox",24,"1440x900","match_status:2",TRUE,FALSE,TRUE,FALSE,"desktop","rv:52.0"
"88",2987368,-20,381993,NA,NA,5,-13,NA,NA,NA,NA,100,"NotFound",49,NA,"Unknown","",225,NA,266,507,NA,NA,"",NA,NA,NA,"","New","NotFound","","mobile safari 11.0",NA,"","",FALSE,FALSE,FALSE,TRUE,"mobile",""
"89",2987374,-5,70761,0,0,0,0,NA,NA,0,0,100,"NotFound",49,-300,"Found","Found",166,NA,215,484,NA,NA,"",NA,NA,NA,"","Found","Found","Mac OS X 10_11_6","safari generic",24,"1440x900","match_status:2",TRUE,FALSE,TRUE,FALSE,"desktop","MacOS"
"90",2987376,-5,108757,NA,NA,0,0,NA,NA,NA,NA,100,"NotFound",49,-300,"New","NotFound",166,NA,215,597,NA,NA,"",NA,NA,NA,"","New","NotFound","Mac OS X 10_13_1","safari generic",24,"1366x768","match_status:2",TRUE,FALSE,FALSE,TRUE,"desktop","MacOS"
"91",2987380,-20,324495,NA,NA,0,-5,NA,NA,NA,NA,100,"NotFound",49,NA,"Unknown","",225,NA,254,507,NA,NA,"",NA,NA,NA,"","New","NotFound","","mobile safari 11.0",NA,"","",FALSE,FALSE,FALSE,TRUE,"mobile",""
"92",2987384,-5,561432,NA,NA,0,0,NA,NA,NA,NA,100,"NotFound",52,NA,"New","NotFound",225,NA,266,122,NA,NA,"",NA,NA,NA,"","New","NotFound","","chrome 62.0",NA,"","",FALSE,FALSE,TRUE,TRUE,"desktop",""
"93",2987386,0,131248,0,0,6,-10,NA,NA,0,0,100,"NotFound",20,NA,"Found","Found",166,15,352,222,NA,NA,"",NA,NA,NA,"","Found","Found","","chrome 60.0 for android",NA,"","",FALSE,FALSE,TRUE,TRUE,"mobile","SM-G950U Build/NRD90M"
"94",2987387,0,68658,NA,NA,0,0,NA,NA,NA,NA,100,"NotFound",NA,-360,"New","NotFound",166,NA,542,333,NA,NA,"",NA,NA,NA,"","New","NotFound","Android 7.0","chrome 62.0 for android",32,"2672x1440","match_status:2",TRUE,FALSE,TRUE,TRUE,"mobile","LG-H872 Build/NRD90U"
